X Y mu sigma
0.14844321089181287 -1.6250964108621698e-05 -1.625104679111248e-05 5.879887844131412e-11
0.15039633589181287 -1.6615387721685693e-05 -1.6615330080165613e-05 5.874987599407798e-11
0.15234946089181287 -1.6976886399788782e-05 -1.697684437839693e-05 5.869869939121455e-11
0.15430258589181287 -1.733490171318408e-05 -1.7334798017797446e-05 5.8632530167847e-11
0.15625571089181287 -1.768850597727578e-05 -1.7688400405329502e-05 5.857270016769097e-11
0.15820883589181287 -1.8036973415291868e-05 -1.8036863583648614e-05 5.851494901687463e-11
0.16016196089181287 -1.8379525499767624e-05 -1.8379403702808258e-05 5.847299022782188e-11
0.16211508589181287 -1.871545464382507e-05 -1.8715242530795607e-05 5.844771479814899e-11
0.16406821089181287 -1.9043807697016746e-05 -1.9043608902322325e-05 5.843400151766036e-11
0.16602133589181287 -1.9363948013051413e-05 -1.9363740128614362e-05 5.842971545747066e-11
0.16797446089181287 -1.9674978830153123e-05 -1.967488339799305e-05 5.843357292578846e-11
0.16992758589181287 -1.9976261683041233e-05 -1.9976297147701942e-05 5.843014407763754e-11
0.17188071089181287 -2.0267096260795366e-05 -2.026725235527237e-05 5.841942763003684e-11
0.17383383589181287 -2.0546791347442195e-05 -2.054703386961224e-05 5.839455789760221e-11
0.17578696089181287 -2.0814670278923583e-05 -2.081494160688511e-05 5.83658158776117e-11
0.17774008589181287 -2.1070067305117842e-05 -2.1070291812880883e-05 5.832589676342113e-11
0.17969321089181287 -2.1312178432708606e-05 -2.1312418187077904e-05 5.827907504049231e-11
0.18164633589181287 -2.154048524971586e-05 -2.1540673037621146e-05 5.824253656661325e-11
0.18359946089181287 -2.175430563511327e-05 -2.1754428333749615e-05 5.820941720882616e-11
0.18555258589181287 -2.1953048417344693e-05 -2.1953076757522808e-05 5.818445771188809e-11
0.18750571089181287 -2.2136089683044702e-05 -2.213603268768385e-05 5.817326549560055e-11
0.18945883589181287 -2.2302876459434625e-05 -2.2302733115128236e-05 5.8167238025599114e-11
0.19141196089181287 -2.245277755719144e-05 -2.2452638537620902e-05 5.8168099130981516e-11
