X Y mu sigma
0.12696078431372548 -1.2284150216146372e-05 -1.228397077648411e-05 3.268567890437992e-11
0.12891390931372548 -1.2627614523808006e-05 -1.2627732346840248e-05 3.266453472590814e-11
0.13086703431372548 -1.2977146070625167e-05 -1.2977051563920717e-05 3.264981765612486e-11
0.13282015931372548 -1.3331078662304208e-05 -1.3331229501399118e-05 3.264889761899453e-11
0.13477328431372548 -1.368957236991264e-05 -1.3689550894957562e-05 3.264889761899453e-11
0.13672640931372548 -1.4051123798708431e-05 -1.4051285723049595e-05 3.2642456632999834e-11
0.13867953431372548 -1.4415691111935303e-05 -1.4415690764829126e-05 3.2644297044392104e-11
0.14063265931372548 -1.4781856407353189e-05 -1.4782011207256055e-05 3.2615758997782207e-11
0.14258578431372548 -1.5149411410675384e-05 -1.514948221432426e-05 3.258903949130056e-11
0.14453890931372548 -1.551712557557039e-05 -1.5517330539867857e-05 3.2543842890435715e-11
0.14649203431372548 -1.5884761523921043e-05 -1.588477608633094e-05 3.248933906319148e-11
0.14844515931372548 -1.62509641086217e-05 -1.6251033547414718e-05 3.24264074523394e-11
0.15039828431372548 -1.6615387721685693e-05 -1.6615313931321896e-05 3.2369849991397184e-11
0.15235140931372548 -1.6976886399788782e-05 -1.6976826205831646e-05 3.2314123133834176e-11
0.15430453431372548 -1.733490171318408e-05 -1.733477879155497e-05 3.2252712380448585e-11
0.15625765931372548 -1.768850597727578e-05 -1.768838114410644e-05 3.220890910125628e-11
0.15821078431372548 -1.8036973415291868e-05 -1.803684529834075e-05 3.217531732180452e-11
0.16016390931372548 -1.8379525499767624e-05 -1.8379387353086155e-05 3.215664005934845e-11
0.16211703431372548 -1.871545464382507e-05 -1.871522895632131e-05 3.213327821497666e-11
0.16407015931372548 -1.9043807697016746e-05 -1.9043598786359963e-05 3.213701725131873e-11
0.16602328431372548 -1.9363948013051413e-05 -1.9363733940176935e-05 3.2128603807635554e-11
0.16797640931372548 -1.967497883015312e-05 -1.9674881413161894e-05 3.213327821497666e-11
0.16992953431372548 -1.9976261683041226e-05 -1.9976299398167608e-05 3.2130473652177085e-11
0.17188265931372548 -2.0267096260795373e-05 -2.0267258672698073e-05 3.2120188160166026e-11
0.17383578431372548 -2.0546791347442198e-05 -2.0547043838576217e-05 3.2121123340989895e-11
0.17578890931372548 -2.0814670278923586e-05 -2.0814954656086978e-05 3.210709276854331e-11
0.17774203431372548 -2.1070067305117842e-05 -2.107030719242248e-05 3.208743966029247e-11
0.17969515931372548 -2.1312178432708603e-05 -2.1312435068498096e-05 3.205559479566658e-11
0.18164828431372548 -2.1540485249715854e-05 -2.1540690502065174e-05 3.202090410539925e-11
0.18360140931372548 -2.175430563511327e-05 -2.1754445470018887e-05 3.198993202119765e-11
0.18555453431372548 -2.195304841734469e-05 -2.1953092694208085e-05 3.1952349851242666e-11
0.18750765931372548 -2.21360896830447e-05 -2.213604662832845e-05 3.1925075113151154e-11
0.18946078431372548 -2.230287645943463e-05 -2.2302744394686267e-05 3.189871875463175e-11
0.19141390931372548 -2.245277755719144e-05 -2.2452646676142798e-05 3.187328305393819e-11
0.19336703431372548 -2.258552376588341e-05 -2.2585238464127637e-05 3.185914333432749e-11
0.19532015931372548 -2.270013101224322e-05 -2.2700029911157386e-05 3.1840280607194775e-11
0.19727328431372548 -2.27968193939887e-05 -2.2796556952884687e-05 3.1843110728582275e-11
0.19922640931372548 -2.2874382921145298e-05 -2.287438203594584e-05 3.1844997336441774e-11
0.20117953431372548 -2.2933298168936744e-05 -2.293309457235602e-05 3.1840280607194775e-11
